    n, merge_cmp, merge_swaps, merge_time
  401,      2991,           0,       1708
  402,      2991,           0,       1851
  403,      3006,           0,       1699
  404,      3019,           0,       1750
  405,      3028,           0,       1832
  406,      3024,           0,       1719
  407,      3029,           0,       1752
  408,      3036,           0,       1718
  409,      3055,           0,       1750
  410,      3053,           0,       2108
  411,      3061,           0,       2106
  412,      3086,           0,       1745
  413,      3088,           0,       1893
  414,      3077,           0,       2183
  415,      3086,           0,       1760
  416,      3124,           0,       1949
  417,      3133,           0,       1780
  418,      3130,           0,       1879
  419,      3139,           0,       1826
  420,      3167,           0,       1823
  421,      3169,           0,       1990
  422,      3170,           0,       1940
  423,      3194,           0,       1798
  424,      3185,           0,       1871
  425,      3189,           0,       1865
  426,      3197,           0,       1816
  427,      3205,           0,       1805
  428,      3229,           0,       2048
  429,      3239,           0,       2208
  430,      3249,           0,       1837
  431,      3256,           0,       1842
  432,      3255,           0,       1914
  433,      3262,           0,       1996
  434,      3277,           0,       1862
  435,      3281,           0,       1927
  436,      3283,           0,       1858
  437,      3300,           0,       2586
  438,      3311,           0,       2031
  439,      3317,           0,       1909
  440,      3318,           0,       1944
  441,      3331,           0,       2002
  442,      3344,           0,       1888
  443,      3356,           0,       1878
  444,      3359,           0,       2061
  445,      3372,           0,       2357
  446,      3385,           0,       2855
  447,      3386,           0,       2178
  448,      3410,           0,       2691
  449,      3418,           0,       2327
  450,      3423,           0,       4003
  451,      3427,           0,       3606
  452,      3437,           0,       3384
  453,      3446,           0,       3008
  454,      3461,           0,       3712
  455,      3465,           0,       3193
  456,      3472,           0,       4297
  457,      3483,           0,       4913
  458,      3480,           0,       2408
  459,      3500,           0,       2713
  460,      3520,           0,       2258
  461,      3532,           0,       2225
  462,      3532,           0,       2154
  463,      3539,           0,       2392
  464,      3540,           0,       2504
  465,      3553,           0,       2031
  466,      3552,           0,       2144
  467,      3563,           0,       2031
  468,      3588,           0,       2014
  469,      3604,           0,       2295
  470,      3598,           0,       2270
  471,      3603,           0,       2648
  472,      3603,           0,       2249
  473,      3611,           0,       2055
  474,      3621,           0,       2027
  475,      3641,           0,       2176
  476,      3639,           0,       2164
  477,      3654,           0,       2056
  478,      3663,           0,       2233
  479,      3664,           0,       2065
  480,      3697,           0,       2066
  481,      3704,           0,       2102
  482,      3697,           0,       2060
  483,      3712,           0,       2111
  484,      3724,           0,       2161
  485,      3734,           0,       2260
  486,      3730,           0,       2415
  487,      3748,           0,       2135
  488,      3755,           0,       2137
  489,      3759,           0,       2095
  490,      3772,           0,       2124
  491,      3783,           0,       2110
  492,      3799,           0,       2758
  493,      3796,           0,       2389
  494,      3821,           0,       2182
  495,      3824,           0,       2192
  496,      3822,           0,       2335
  497,      3829,           0,       2234
  498,      3829,           0,       2262
  499,      3837,           0,       2196
  500,      3871,           0,       2342
  501,      3879,           0,       2457
  502,      3878,           0,       2159
  503,      3889,           0,       2171
  504,      3921,           0,       2223
  505,      3929,           0,       2930
  506,      3920,           0,       2424
  507,      3918,           0,       2206
  508,      3934,           0,       2233
  509,      3946,           0,       2190
  510,      3952,           0,       2194
  511,      3960,           0,       2343
  512,      3974,           0,       2211
  513,      3983,           0,       2267
  514,      3994,           0,       2410
  515,      4003,           0,       2748
  516,      4009,           0,       2264
  517,      4018,           0,       2269
  518,      4033,           0,       2903
  519,      4039,           0,       2295
  520,      4042,           0,       2275
  521,      4049,           0,       2288
  522,      4063,           0,       2336
  523,      4075,           0,       2289
  524,      4080,           0,       2546
  525,      4089,           0,       2305
  526,      4107,           0,       2334
  527,      4091,           0,       2295
  528,      4117,           0,       2312
  529,      4124,           0,       2593
  530,      4147,           0,       3379
  531,      4155,           0,       2780
  532,      4160,           0,       2513
  533,      4173,           0,       2398
  534,      4193,           0,       2398
  535,      4195,           0,       2361
