    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  203,         11670,           11476,          13211,      1316,           0,        758
  204,         11773,           11578,          17141,      1314,           0,       1266
  205,         11853,           11657,          18388,      1324,           0,        771
  206,         12038,           11841,          30784,      1340,           0,        779
  207,         12240,           12042,          19931,      1336,           0,       1716
  208,         12431,           12232,          16372,      1357,           0,        817
  209,         12616,           12416,          11515,      1365,           0,        814
  210,         12629,           12428,          12906,      1370,           0,        721
  211,         12811,           12609,          14163,      1383,           0,        730
  212,         12986,           12783,          13900,      1384,           0,        741
  213,         13085,           12881,          13386,      1391,           0,        735
  214,         13298,           13094,          13230,      1409,           0,        743
  215,         13479,           13274,          14060,      1411,           0,        746
  216,         13501,           13295,          12408,      1414,           0,        823
  217,         13520,           13313,          13753,      1422,           0,        784
  218,         13658,           13450,          15249,      1433,           0,        755
  219,         13828,           13619,          15170,      1434,           0,        756
  220,         13979,           13769,          14053,      1448,           0,        761
  221,         13996,           13785,          13798,      1459,           0,        920
  222,         14186,           13974,          14570,      1459,           0,        766
  223,         14331,           14118,          14114,      1467,           0,        815
  224,         14450,           14236,          13411,      1486,           0,       1224
  225,         14556,           14341,          14024,      1494,           0,        982
  226,         14579,           14363,          14009,      1501,           0,        887
  227,         14687,           14470,          13221,      1506,           0,        790
  228,         14875,           14657,          13317,      1511,           0,        790
  229,         15096,           14877,          13502,      1519,           0,        815
  230,         15106,           14886,          13735,      1532,           0,        801
  231,         15206,           14985,          13767,      1548,           0,        809
  232,         15281,           15059,          13769,      1535,           0,        803
  233,         15335,           15112,          14348,      1544,           0,        809
  234,         15443,           15219,          13957,      1563,           0,        854
  235,         15531,           15306,          14739,      1565,           0,        818
  236,         15572,           15346,          15175,      1565,           0,        817
  237,         15760,           15533,          14078,      1579,           0,        934
  238,         15811,           15583,          14493,      1581,           0,        859
  239,         16049,           15821,          14611,      1591,           0,        857
  240,         16220,           15991,          14997,      1611,           0,        981
  241,         16440,           16210,          15177,      1618,           0,        844
  242,         16528,           16297,          15029,      1630,           0,        850
  243,         16615,           16383,          14891,      1634,           0,        974
  244,         16725,           16492,          15358,      1640,           0,        854
  245,         16808,           16574,          15190,      1651,           0,        857
  246,         16825,           16590,          15548,      1661,           0,        860
  247,         16831,           16595,          14909,      1672,           0,        860
  248,         16947,           16710,          15195,      1660,           0,        866
  249,         17130,           16892,          15795,      1668,           0,        867
  250,         17284,           17045,          15475,      1686,           0,        874
  251,         17293,           17053,          16554,      1687,           0,       1302
  252,         17484,           17243,          17147,      1706,           0,        893
  253,         17496,           17254,          16329,      1705,           0,        885
  254,         17626,           17383,          16343,      1718,           0,        951
  255,         17816,           17572,          16127,      1723,           0,        895
  256,         18030,           17785,          16813,      1740,           0,        901
  257,         18097,           17851,          16492,      1750,           0,        908
  258,         18322,           18075,          16588,      1749,           0,        909
  259,         18453,           18205,          16530,      1761,           0,        915
  260,         18483,           18234,          17121,      1759,           0,        957
  261,         18487,           18237,          16737,      1769,           0,        931
  262,         18607,           18356,          16993,      1781,           0,        941
  263,         18647,           18395,          17448,      1784,           0,        931
  264,         18697,           18444,          17331,      1803,           0,        938
  265,         18719,           18465,          16989,      1815,           0,       1075
  266,         18737,           18482,          16899,      1822,           0,        947
  267,         18761,           18505,          16955,      1832,           0,        995
  268,         18941,           18684,          17269,      1835,           0,        990
  269,         19128,           18870,          17894,      1844,           0,        964
  270,         19397,           19138,          17429,      1854,           0,        963
  271,         19399,           19139,          17446,      1860,           0,        967
  272,         19434,           19173,          17879,      1861,           0,       1115
  273,         19685,           19423,          19445,      1868,           0,        972
  274,         19936,           19673,          18303,      1879,           0,        977
  275,         20062,           19798,          18843,      1884,           0,        982
  276,         20275,           20010,          18215,      1899,           0,       1430
  277,         20385,           20119,          18445,      1905,           0,        996
  278,         20495,           20228,          18971,      1908,           0,        999
  279,         20524,           20256,          19501,      1918,           0,       2032
  280,         20792,           20523,          38347,      1936,           0,       2288
  281,         20889,           20619,          36822,      1940,           0,       1981
  282,         21053,           20782,          28412,      1948,           0,       1085
  283,         21150,           20878,          21072,      1964,           0,       1020
  284,         21307,           21034,          19269,      1972,           0,       1160
  285,         21368,           21094,          19477,      1985,           0,       1114
  286,         21533,           21258,          20105,      1991,           0,       1033
  287,         21647,           21371,          20231,      1999,           0,       1115
  288,         21729,           21452,          19992,      1999,           0,       1034
  289,         22016,           21738,          19814,      2008,           0,       1036
  290,         22072,           21793,          19677,      2017,           0,       1212
  291,         22226,           21946,          20970,      2023,           0,       1165
  292,         22474,           22193,          21212,      2047,           0,       1065
  293,         22685,           22403,          20920,      2059,           0,       1199
  294,         22789,           22506,          25010,      2052,           0,       1097
  295,         23040,           22756,          21033,      2060,           0,       1067
  296,         23089,           22804,          20875,      2071,           0,       1070
  297,         23361,           23075,          21535,      2082,           0,       1077
  298,         23540,           23253,          21255,      2088,           0,       1086
  299,         23809,           23521,          21949,      2097,           0,       1090
  300,         23995,           23706,          21994,      2106,           0,       1452
  301,         24088,           23798,          24205,      2110,           0,       1140
  302,         24180,           23889,          22236,      2119,           0,       1126
  303,         24206,           23914,          22467,      2136,           0,       1144
  304,         24402,           24109,          22023,      2155,           0,       1116
  305,         24635,           24341,          22059,      2165,           0,       1123
  306,         24919,           24624,          22769,      2172,           0,       1125
  307,         25087,           24791,          23141,      2184,           0,       1132
  308,         25171,           24874,          22997,      2174,           0,       1126
  309,         25331,           25033,          24960,      2180,           0,       1640
  310,         25474,           25175,          22885,      2182,           0,       1134
  311,         25483,           25183,          22929,      2193,           0,       1139
  312,         25706,           25405,          24122,      2218,           0,       1147
  313,         25782,           25480,          23148,      2221,           0,       1177
  314,         25990,           25687,          23370,      2223,           0,       1151
  315,         26191,           25887,          24370,      2234,           0,       1422
  316,         26254,           25949,          24754,      2227,           0,       1156
  317,         26361,           26055,          24387,      2239,           0,       1160
  318,         26441,           26134,          24438,      2250,           0,       1162
  319,         26517,           26209,          24654,      2262,           0,       1173
  320,         26797,           26488,          24295,      2289,           0,       1598
  321,         27046,           26736,          24358,      2298,           0,       1219
  322,         27195,           26884,          25308,      2290,           0,       1247
