   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 533,         69919,           69393,          65906,      4146,           0,       2264
 534,         70080,           69553,          65603,      4160,           0,       2332
 535,         70591,           70063,          66030,      4176,           0,       2179
 536,         70701,           70172,          65750,      4162,           0,       2185
 537,         70708,           70178,          65313,      4173,           0,       2217
 538,         70864,           70333,          65623,      4179,           0,       2194
 539,         71311,           70779,          67960,      4204,           0,       2417
 540,         71551,           71018,          67011,      4225,           0,       2241
 541,         71690,           71156,          71578,      4236,           0,       2209
 542,         72072,           71537,          67113,      4244,           0,       2213
 543,         72551,           72015,          67366,      4244,           0,       2223
 544,         72660,           72123,          67684,      4273,           0,       2401
 545,         73016,           72478,          67877,      4283,           0,       2266
 546,         73377,           72838,          71165,      4272,           0,       2475
 547,         73392,           72852,          76976,      4293,           0,       2324
 548,         73399,           72858,          69030,      4299,           0,       2461
 549,         73823,           73281,          69551,      4307,           0,       2237
 550,         74018,           73475,          68979,      4323,           0,       2275
 551,         74291,           73747,          68960,      4328,           0,       2295
 552,         74371,           73826,          68948,      4334,           0,       2259
 553,         74564,           74018,          70266,      4342,           0,       2292
 554,         74914,           74367,          70502,      4348,           0,       2410
 555,         75396,           74848,          70393,      4363,           0,       2315
 556,         75576,           75027,          70325,      4378,           0,       2367
 557,         76119,           75569,          70781,      4380,           0,       2333
 558,         76129,           75578,          71071,      4371,           0,       2318
 559,         76681,           76129,          71748,      4401,           0,       2440
 560,         76863,           76310,          74084,      4389,           0,       2421
 561,         77067,           76513,          80004,      4403,           0,       2309
 562,         77201,           76646,          73197,      4407,           0,       2352
 563,         77480,           76924,          78886,      4430,           0,       2511
 564,         77896,           77339,          75922,      4431,           0,       2369
 565,         78429,           77871,          72975,      4444,           0,       2572
 566,         78465,           77906,          75603,      4462,           0,       2385
 567,         78692,           78132,          74104,      4470,           0,       2456
 568,         78735,           78174,          73786,      4483,           0,       2393
 569,         79248,           78686,          73987,      4491,           0,       2361
 570,         79483,           78920,          75766,      4485,           0,       2393
 571,         79918,           79354,          74542,      4506,           0,       2408
 572,         80441,           79876,          75371,      4529,           0,       2450
 573,         80799,           80233,          76729,      4534,           0,       2396
 574,         81321,           80754,          81774,      4556,           0,       2417
 575,         81779,           81211,          78245,      4554,           0,       2441
 576,         82153,           81584,          80208,      4553,           0,       2442
 577,         82670,           82100,          76861,      4564,           0,       2425
 578,         83164,           82593,          78178,      4572,           0,       2565
 579,         83188,           82616,          79236,      4579,           0,       2460
 580,         83543,           82970,          78945,      4595,           0,       3243
 581,         83801,           83227,          78544,      4602,           0,       2419
 582,         84361,           83786,          78745,      4621,           0,       2422
 583,         84648,           84072,          79302,      4616,           0,       2408
 584,         84660,           84083,          78747,      4647,           0,       2456
 585,         84829,           84251,          83778,      4651,           0,       2482
 586,         85383,           84804,          82607,      4656,           0,       2530
 587,         85563,           84983,          89226,      4669,           0,       2465
 588,         85869,           85288,          80208,      4674,           0,       2541
 589,         85964,           85382,          79813,      4692,           0,       2464
 590,         86545,           85962,          80981,      4710,           0,       2511
 591,         86889,           86305,          82271,      4723,           0,       2463
 592,         87434,           86849,          81979,      4705,           0,       2557
 593,         88020,           87434,          81867,      4712,           0,       2555
 594,         88607,           88020,          82816,      4715,           0,       2458
 595,         88848,           88260,          82728,      4733,           0,       2478
 596,         89092,           88503,          83897,      4738,           0,       2541
 597,         89542,           88952,          98757,      4752,           0,       2566
 598,         89606,           89015,          87785,      4772,           0,       2696
 599,         90146,           89554,          88930,      4771,           0,       2500
 600,         90335,           89742,          84123,      4789,           0,       2498
 601,         90453,           89859,          84177,      4797,           0,       2632
 602,         91004,           90409,          88759,      4805,           0,       2554
 603,         91169,           90573,          85855,      4810,           0,       3139
 604,         91532,           90935,          87837,      4807,           0,       2506
 605,         91625,           91027,          85948,      4809,           0,       2524
 606,         91984,           91385,          85349,      4826,           0,       2584
 607,         92069,           91469,          86193,      4850,           0,       2573
 608,         92359,           91758,          88216,      4855,           0,       2574
 609,         92845,           92243,          87502,      4866,           0,       2826
 610,         93129,           92526,          87900,      4877,           0,       2591
 611,         93522,           92918,          92592,      4875,           0,       2586
 612,         93986,           93381,          87084,      4899,           0,       2588
 613,         94534,           93928,          89955,      4916,           0,       2641
 614,         94804,           94197,          90174,      4920,           0,       2609
 615,         95077,           94469,          94306,      4932,           0,       2627
 616,         95460,           94851,          89794,      4945,           0,       2896
 617,         96021,           95411,          89892,      4947,           0,       2720
 618,         96432,           95821,          92982,      4960,           0,       2681
 619,         96635,           96023,          94480,      4982,           0,       2631
 620,         96646,           96033,         108864,      4969,           0,       2658
 621,              ,                ,               ,      4976,           0,       2804
 622,              ,                ,               ,      4980,           0,       2876
 623,              ,                ,               ,      5001,           0,       2655
 624,              ,                ,               ,      5024,           0,       2696
 625,              ,                ,               ,      5034,           0,       3790
 626,              ,                ,               ,      5043,           0,       3416
 627,              ,                ,               ,      5044,           0,       4535
 628,              ,                ,               ,      5043,           0,       3489
 629,              ,                ,               ,      5055,           0,       5611
 630,              ,                ,               ,      5075,           0,       3114
 631,              ,                ,               ,      5091,           0,       2907
 632,              ,                ,               ,      5089,           0,       3195
 633,              ,                ,               ,      5096,           0,       3768
 634,              ,                ,               ,      5108,           0,       4904
